class,precision,recall,f1-score,support
s100,0.8223,0.8379,0.83,475
s106,0.8619,0.9097,0.8851,487
s10e,0.9438,0.9771,0.9602,481
s110,0.9893,0.9408,0.9644,490
s115,0.9708,0.9957,0.9831,467
s116,1.0,1.0,1.0,494
s117,0.9748,0.9727,0.9738,477
s11e,1.0,1.0,1.0,478
s121,1.0,0.9958,0.9979,479
s12d,1.0,0.9959,0.998,489
s13f,0.9523,0.9766,0.9643,470
s144,0.9958,1.0,0.9979,471
s14c,0.9872,0.9978,0.9925,464
s150,0.9508,0.9831,0.9667,472
s15a,0.9682,0.9959,0.9819,489
s15d,1.0,0.9772,0.9885,482
s16d,0.9644,0.8965,0.9292,483
s176,0.9855,0.9814,0.9834,484
s180,0.9311,0.9614,0.946,492
s182,0.9684,0.9623,0.9653,477
s185,0.8919,0.9619,0.9256,472
s186,1.0,0.9918,0.9959,486
s18c,1.0,0.9774,0.9886,487
s18f,1.0,1.0,1.0,497
s192,1.0,1.0,1.0,499
s19a,1.0,1.0,1.0,480
s19c,0.9878,1.0,0.9938,484
s19d,1.0,0.9882,0.9941,509
s1a0,0.9959,1.0,0.9979,483
s1a2,1.0,1.0,1.0,493
s1a4,1.0,1.0,1.0,460
s1b0,1.0,1.0,1.0,497
s1bb,0.9661,1.0,0.9828,485
s1c0,0.9891,0.9537,0.9711,475
s1c5,0.9978,0.9851,0.9915,471
s1ce,1.0,0.9833,0.9916,480
s1d0,0.9836,1.0,0.9917,479
s1d4,1.0,1.0,1.0,472
s1dc,0.9874,0.9574,0.9722,493
s1e1,0.982,1.0,0.9909,492
s1f0,0.8983,0.8646,0.8811,480
s1f4,0.9588,0.8803,0.9179,476
s1f5,1.0,1.0,1.0,475
s203,0.9915,0.9791,0.9853,479
macro avg,0.9749,0.9746,0.9745,21205
weighted avg,0.9751,0.9746,0.9746,21205
