train,pred
s1f0,s1f0
s144,s144
s15a,s15a
s1f5,s1f5
s144,s144
s116,s116
s100,s100
s1b0,s1b0
s15a,s15a
s19a,s19a
s185,s185
s19c,s19c
s186,s186
s1dc,s1dc
s19c,s19c
s203,s203
s15a,s15a
s19a,s19a
s186,s186
s16d,s16d
s110,s110
s144,s144
s1f4,s1f4
s15a,s15a
s1f4,s1f4
s10e,s10e
s13f,s13f
s1bb,s1bb
s192,s192
s150,s150
s203,s203
s10e,s10e
s100,s100
s203,s203
s15d,s15d
s13f,s13f
s186,s186
s1bb,s1bb
s1f0,s1f0
s100,s100
s1bb,s1bb
s19c,s19c
s1b0,s1b0
s16d,s16d
s12d,s12d
s1a2,s1a2
s16d,s16d
s1a2,s1a2
s1f0,s1f0
s18f,s18f
s11e,s11e
s1f5,s1f5
s15a,s15a
s18c,s18c
s1ce,s1ce
s10e,s10e
s1b0,s1b0
s185,s185
s1dc,s1dc
s100,s100
s1ce,s1ce
s15a,s15a
s203,s203
s100,s100
s100,s100
s150,s150
s1bb,s1bb
s203,s203
s203,s203
s18c,s18c
s13f,s13f
s185,s185
s186,s186
s144,s144
s117,s117
s1b0,s1b0
s110,s110
s100,s100
s10e,s10e
s176,s176
s18c,s18c
s1bb,s1bb
s19a,s19a
s15d,s15d
s12d,s12d
s18c,s18c
s15a,s16d
s1e1,s1e1
s11e,s11e
s100,s100
s19c,s19c
s185,s185
s10e,s10e
s186,s186
s10e,s10e
s1ce,s1ce
s1f0,s1f0
s10e,s10e
s1dc,s100
s1f4,s100
s10e,s10e
s1f0,s1f0
s1ce,s1ce
s116,s116
s10e,s10e
s1d0,s1d0
s15a,s15a
s15a,s15a
s100,s100
s1dc,s1dc
s110,s110
s19d,s19d
s1a0,s1a0
s100,s100
s203,s203
s10e,s10e
s14c,s14c
s176,s176
s117,s117
s100,s100
s1ce,s1ce
s18f,s18f
s100,s100
s117,s117
s117,s117
s203,s203
s203,s203
s15a,s15a
s1bb,s1bb
s1bb,s1bb
s116,s116
s13f,s13f
s203,s203
s185,s185
s116,s116
s14c,s14c
s1a4,s1a4
s1c0,s1c0
s14c,s14c
s1a4,s1a4
s150,s150
s1f0,s1f0
s1f4,s1f4
s1ce,s1ce
s106,s106
s14c,s150
s1f0,s1f0
s1f5,s1f5
s203,s203
s1bb,s1bb
s15d,s15d
s14c,s14c
s106,s100
s1a4,s1a4
s11e,s11e
s1b0,s1b0
s1ce,s1ce
s18c,s18c
s110,s110
s13f,s110
s110,s110
s1b0,s1b0
s100,s100
s117,s117
s1a4,s1a4
s1b0,s1b0
s117,s117
s13f,s13f
s15a,s15a
s1f4,s1f4
s150,s150
s203,s203
s203,s203
s100,s100
s192,s192
s150,s150
s13f,s13f
s19a,s19a
s15a,s15a
s1ce,s1ce
s180,s180
s100,s100
s100,s100
s110,s110
s1bb,s1bb
s203,s203
s15a,s15a
s15a,s15a
s117,s117
s1bb,s1bb
s1c5,s1c5
s1f5,s1f5
s15a,s15a
s1a2,s1a2
s10e,s10e
s15d,s180
s1f4,s1f4
s150,s150
s1a4,s1a4
s186,s186
s15a,s15a
s1c5,s1c5
s180,s16d
s1dc,s1dc
s1dc,s1dc
s10e,s10e
s1a4,s1a4
s116,s116
s10e,s10e
s1bb,s1bb
s1b0,s1b0
s1bb,s1bb
s203,s203
s16d,s16d
s18f,s18f
s10e,s10e
s1a4,s1a4
s185,s185
s185,s185
s100,s100
s144,s144
s203,s203
s1a4,s1a4
s100,s100
s1d4,s1d4
s1f0,s1f0
s203,s203
s150,s150
s186,s186
s10e,s10e
s186,s186
s1dc,s1dc
s203,s203
s110,s110
s121,s121
s150,s150
s10e,s10e
s150,s150
s1a4,s1a4
s100,s100
s1f0,s1f0
s1ce,s1ce
s18f,s18f
s16d,s16d
s1bb,s1bb
s15a,s15a
s106,s106
s14c,s14c
s15a,s15a
s1e1,s1e1
s117,s117
s150,s150
s115,s115
s1ce,s1ce
s150,s150
s100,s100
s203,s203
s110,s110
s16d,s16d
s19d,s19d
s1d4,s1d4
s1f5,s1f5
s110,s110
s1f0,s1f0
s144,s144
s110,s110
s16d,s16d
s15a,s15a
s15a,s15a
s13f,s13f
s117,s117
s100,s100
s203,s203
s1f4,s1f4
s203,s203
s1f0,s1f0
s1ce,s1ce
s117,s117
s16d,s16d
s203,s203
s100,s100
s1f4,s1f4
s1dc,s1dc
s1f5,s1f5
s185,s185
s1bb,s1bb
s1a0,s1a0
s1c0,s1c0
s1ce,s1ce
s100,s100
s100,s100
s100,s100
s1dc,s1dc
s1bb,s1bb
s15d,s15d
s18f,s18f
s15a,s15a
